title,vote_average
One Last Hug,8.0
Two Men in Town,5.9
Vesna Goes Fast,7.2
James Dean,6.9
Eloise at Christmastime,5.1
Bizarre,6.2
I'm Here,7.4
Rigoletto,6.7
Closure,8.0
"Spy, Stand Up",6.1
The Purple Taxi,6.0
Judge Fayard Called the Sheriff,6.3
The Common Man,5.6
The Assassination,6.3
Angel's Leap,5.0
Safety Catch,7.5
And Hope to Die,6.5
Twelve Plus One,5.3
The Blonde from Peking,7.5
Un milliard dans un billard,0.0
Joy House,6.8
The Joy of Living,6.2
The Walls of Malapaga,4.5
Reformat the Planet,8.0
Drew: The Man Behind the Poster,7.5
Nick the Sting,8.5
Plastic Bag,7.5
The Last Five Years,5.5
Naked,5.0
The Ghosts in Our Machine,8.0
Crimson Peak,6.4
As Dreamers Do,4.6
Dragonheart 3: The Sorcerer's Curse,4.5
12:01 PM,5.8
Robin Williams: An Evening with Robin Williams,7.0
The Great Los Angeles Earthquake,6.8
Bride of Boogedy,4.8
Chris Rock: Bigger & Blacker,7.8
Chris Rock: Bring the Pain,7.7
Wasteland,0.0
Beau Brummell: This Charming Man,5.5
Casanova,7.5
Chaar Sahibzaade,6.6
Queen of the Mountains,0.0
Yesterday,7.5
Anbe Sivam,7.2
The Moromete Family,7.4
Şaban Oğlu Şaban,8.4
1 - Nenokkadine,5.8
Bey Yaar,8.0
The Outsider,6.1
Un Papillon sur l'épaule,5.6
Love at the Top,6.8
Deported Women of the SS Special Section,0.0
Women in Cell Block 7,5.5
Life's a Breeze,6.0
O Amor Natural,8.0
The Runner from Ravenshead,0.0
Plato's Academy,7.7
Cloudburst,6.6
A One-Way Trip to Antibes,6.0
Mike Birbiglia: My Girlfriend's Boyfriend,8.1
Tom Segura: Completely Normal,8.1
Mike Birbiglia: What I Should Have Said Was Nothing,7.0
Heads,0.0
Heckler,5.7
The High Sign,7.2
"Ilsa, Harem Keeper of the Oil Sheiks",4.6
Bare Knuckles,0.0
Hollywood between Paranoia and Sci-Fi. The Power of Myth,0.0
"Honey, We Shrunk Ourselves",5.1
Hotel Hell Vacation,5.5
Kinetta,5.5
House IV,3.6
I Love Sarah Jane,5.1
Céleste,5.0
Sugarbaby,6.0
Mahler on the Couch,7.7
Gamera vs. Zigra,3.2
Stitch! The Movie,6.2
Phantom Pain,5.3
The Invisible Frame,7.2
Hot Tub Time Machine 2,5.0
"She No Longer Talks, She Shoots",4.5
The Stone Council,5.0
Lascars,6.7
The French Kissers,5.4
JohnnyExpress,7.9
Calcutta,5.0
Night of the Devils,6.0
Lovestruck: The Musical,5.7
Getting Go: The Go Doc Project,6.5
Eddie Izzard: Glorious,6.4
Eddie Izzard: Circle,7.4
Secrets of Eden,4.8
The Man in the Orange Jacket,5.3
Perez.,6.2
The Coven,2.0
Sense and Sensibility,7.9
Serving Life,9.0
People of the Wind,0.0
A Reflection of Fear,8.0
"Ilsa, the Mad Butcher",5.0
Love Letters of a Portuguese Nun,6.5
Blue Rita,4.8
Women in Cellblock 9,5.3
Love Camp,6.2
Tragic Ceremony,6.0
The Iguana with the Tongue of Fire,5.0
Murder Obsession,4.8
Joanna,6.0
Our Curse,6.0
Banklady,6.3
Tokyo Fiancée,6.0
La montaña rusa,5.0
The Song,5.9
The Testimony,5.5
The Clowns,6.4
Cinderella,5.3
Thicker than Water,5.5
How to Fall in Love,5.2
The Time Being,4.9
Universal Soldier,7.0
The Limping Man,5.7
Impulse,5.3
Tarzan's Savage Fury,5.0
Out of Nature,7.1
Northmen: A Viking Saga,5.3
Reflections,3.9
Believe Me,4.8
The Invisible Ones,6.6
J.D.'s Revenge,6.7
The Monkey Hustle,5.8
Tis kakomoiras,7.9
Afstiros katallilo,7.5
Loaf and Camouflage,7.4
Exhibition,5.0
Superfast!,4.5
Nocturne Indien,10.0
Fort Saganne,6.9
Police Python 357,6.2
France société anonyme,4.0
The Do-Deca-Pentathlon,4.8
Adios Carmen,7.0
Zero,8.0
Bandaged,4.8
A Gun For Jennifer,7.0
Effie Gray,6.2
Grigris,6.7
Camp,7.5
Pretty Things,5.0
Wu yen,6.0
Sexual Predator,5.3
Broken Bridges,4.3
Reality,7.0
One on Top of the Other,7.0
Hell Behind the Bars,6.0
Lo sgarbo,0.0
Julia,5.0
A Summer in La Goulette,6.0
Schtonk!,6.7
"Norte, the End of History",7.1
Han Gong-ju,7.3
Hysteria: The Def Leppard Story,5.2
The Package,4.7
A Short History of Decay,6.0
Hansel and Gretel Get Baked,4.8
Focus,6.7
The Gamers,6.7
Garage Sale Mystery,5.9
Merchants of Doubt,7.5
Every Thing Will Be Fine,5.3
The Adopted,6.9
History of Fear,5.4
The SpongeBob Movie: Sponge Out of Water,5.7
Demonic,5.0
The Night Child,5.9
What Have They Done to Your Daughters?,7.1
Venus in Furs,0.0
A Black Veil for Lisa,5.4
Bandidos,6.3
Heavy Petting,0.0
If You Don't Stop It...You'll Go Blind!!!,0.0
Into the Deep,4.8
Marvel One-Shot: Item 47,6.6
Jim Carrey: Unnatural Act,7.8
Sold Out: A Threevening with Kevin Smith,7.0
Lady Dragon,5.7
Tomie: Unlimited,4.8
La Domination Masculine,5.8
Foon,3.3
The Confessions of Bernhard Goetz,0.0
In the Name of the Law,7.0
The Magic Flute,6.9
Un maledetto imbroglio,6.8
Daddy's Deadly Darling,4.0
"Throw Away Your Books, Rally in the Streets",8.0
The Second Best Exotic Marigold Hotel,6.3
Home at Seven,5.8
Love and Bullets,7.1
Piggy,5.2
Ugly,7.2
Personal Tailor,5.4
Hank and Asha,4.0
Legalese,4.0
Little Sister,4.0
Ingenious,5.3
JFK: The Smoking Gun,0.0
The Legend of Bloody Jack,3.8
The Unholy Four,6.0
Charleston,5.3
The Immortal Bachelor,6.0
Diary Of A Telephone Operator,0.0
Bachelor Party Vegas,5.0
A Fugitive from the Past,7.5
A Blank on the Map,0.0
Cool Breeze,6.0
Arabian Adventure,5.8
Fear in the Night,6.7
Twins of Evil,6.8
The Hellfire Club,0.0
Sword of Sherwood Forest,5.4
Sherlock Holmes and the Masks of Death,6.5
Vuonna 85,6.1
Teen Spirit,3.8
George Carlin: It's Bad for Ya!,8.1
Poison,5.1
Forgive Me,7.0
Papa,6.1
Letters From a Killer,5.0
Call Me Elisabeth,5.5
The Color of Milk,5.0
Repatriation,5.0
Island,5.5
Parked,6.7
So Ends Our Night,6.0
66 Scenes from America,7.0
Jimi Hendrix: Hear My Train A Comin',6.6
Death of a Corrupt Man,6.2
The Third Reich: The Rise & Fall,9.0
Ismael,5.9
Tracers,5.9
"McFarland, USA",7.4
A Black Ribbon for Deborah,0.0
Kids for Cash,6.9
Bomber,6.0
Missionary,5.1
Wolf Totem,6.4
Urban Warriors,0.0
Shoot the Living and Pray for the Dead,3.6
Hole in the Forehead,0.0
Arnold,4.8
The Robot vs. The Aztec Mummy,2.8
The Forgotten Woman,0.0
My Own Man,7.3
The Lazarus Effect,5.1
The Walking Hills,4.8
Too Many Ways to Be No. 1,5.0
Assa,6.8
Los Flamencos,6.5
My Best Friend's Wife,6.3
That's Life,7.5
Chiedimi se sono felice,7.5
Bad Man's River,4.0
The Fourth Victim,6.3
Life Goes On,5.5
Unfinished Business,5.0
Gods,7.9
Mutantes,4.0
The Connection,7.1
The Beehive,7.2
Unchained,0.0
The Children of Sanchez,6.0
Street People,6.2
Violence for Kicks,6.0
The Police Serve the Citizens?,6.8
Jacky in the Kingdom of Women,5.5
Soulless,5.5
Arc,6.0
Chronic Town,0.0
Ghost in the Shell Arise - Border 1: Ghost Pain,7.1
About Alex,6.3
Xuxa in Crystal Moon,5.6
Dhobi Ghat,6.7
Raanjhanaa,6.3
Casbah,5.5
New Scenes from America,8.0
The Adventurers,6.5
The Voice of the Moon,6.7
Whitey: United States of America v. James J. Bulger,6.3
Spare Parts,6.6
Bikes vs Cars,7.7
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.4
Animals United,5.5
Impy's Wonderland,7.1
Tom and Jerry: The Lost Dragon,6.4
The Impossible Voyage,7.1
Capturing Mary,6.0
Floating Skyscrapers,5.8
Plastic Paradise: The Great Pacific Garbage Patch,6.2
Falcon Rising,5.6
Somewhere Under the Broad Sky,5.0
Dickson Greeting,4.8
To Write Love on Her Arms,6.8
Lights Out,5.7
Bright Days Ahead,5.6
Mardock Scramble: The Second Combustion,6.4
Gardenia,0.0
Pigs with a P.38,0.0
Orders Signed in White,0.0
The Flower with Petals of Steel,7.0
The Last Hours of a Virgin,0.0
Papusza,7.6
The Return of the Exorcist,4.0
The Floating Castle,5.9
Familiar Ground,6.5
Club Sandwich,5.4
Playing,7.4
Rings,5.4
Butterflies Have No Memories,8.5
The Dependent,8.8
Nazareno Cruz and the Wolf,7.0
Bestiary,7.5
Carcasses,7.7
The Gold Bug,0.0
Independence,5.0
Sacro GRA,5.7
Gimme the Loot,6.3
Run All Night,6.3
Event 15,4.7
The Killers,6.3
Asthma,6.5
Refuge,6.4
Melody,7.4
Assassin,3.8
Rich Hill,7.6
Our Vinyl Weighs a Ton: This Is Stones Throw Records,6.8
The Huns,0.0
Mission Bloody Mary,0.0
Password: Uccidete agente Gordon,0.0
The incredible Paris Incident,1.0
The Sinful Nuns of Saint Valentine,5.2
Broken Blossoms,5.0
Rio,5.0
The Lodger,6.0
Guest in the House,3.1
Singapore,5.9
The Diamond Queen,0.0
Stand by Me Doraemon,7.0
Saints and Soldiers: The Void,5.2
Little Deaths,4.8
The Boxer's Omen,7.3
Found,6.3
Late Phases,5.6
Thanatomorphose,5.9
Dracula in Pakistan,4.0
Digging Up the Marrow,5.6
Clown,5.3
Pauline détective,4.9
Kingdom of Shadows,7.0
Des roses en hiver,6.5
Des fleurs pour Algernon,7.1
Darling,6.5
Memory Lane,5.0
Camille Rewinds,6.0
Road Hard,6.6
Nymph,4.0
Cinderella,6.7
Frozen Fever,6.9
Lost for Life,5.6
Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,7.0
Our Summer in Provence,6.5
Kidnapping Mr. Heineken,5.8
The Drop Box,6.2
The Cobbler,5.5
Crazy Beautiful You,7.0
California Dreaming,4.5
The Angels Wash Their Faces,5.0
Beloved Enemy,6.3
Blue Collar Comedy Tour: One for the Road,6.8
Carry On Cowboy,6.1
Chubasco,0.0
Dead End,4.2
Dead on Course,5.3
Not So Dumb,3.5
Gidget Goes Hawaiian,4.6
Heat Wave,4.5
Heat Wave,0.0
The House Across the Lake,6.0
Heaven Is a Playground,6.5
Angel's Fall,5.0
Illegally Yours,4.0
Jailbait!,4.7
Jailbait,0.0
Lady from Louisiana,5.1
My Teacher's Wife,5.6
The Neighbors,6.9
Oliver's Story,5.1
Paid to Kill,5.9
Patty Hearst,5.0
Picture Mommy Dead,5.0
Platoon Leader,5.3
Shadow on the Wall,7.0
The Dark Knight,6.3
Standoff,4.8
Take Care,5.6
That Gal...Who Was in That Thing: That Guy 2,7.0
The Case of the Stuttering Bishop,5.5
The Case of the Velvet Claws,7.0
The Gambler and the Lady,5.5
The Half-Breed,0.0
The Hollow,4.6
Don't Let Him In,3.7
The Life and Mind of Mark DeFriest,8.5
They Rode West,3.8
Big and Little Wong Tin Bar,6.2
Two of a Kind,6.3
Hotel,6.1
Alphabet,6.3
The Tree,0.0
A Fight for,8.0
Sailing to Paradise,5.0
Dyke Hard,4.5
Other Girls,0.0
A Bright Shining Lie,6.1
Grizzly,4.9
Silent Sonata,8.5
Wolfsburg,6.5
Coast of Death,6.9
Bill Hicks: Sane Man,8.2
The Harry Hill Movie,3.8
The Wrecking Crew,7.3
Tribulation,4.5
Who Saw Her Die?,6.4
India's Daughter,8.3
Kill Speed,3.7
8 Minutes Idle,5.4
Absolute Aggression,1.0
Mr. Pip,6.0
Mega Piranha,3.0
Men in White,2.5
Black Field,5.7
Contract Killers,5.0
Magnificent Presence,6.6
The Mascot,7.3
The Suspended Step of the Stork,7.3
Transmorphers,2.2
Through the Forest,6.0
Cardcaptor Sakura: The Sealed Card,8.0
The Linguists,8.0
Watch Me When I Kill,6.7
Trackdown,0.0
Outrage,5.2
Hell Is a City,5.8
The Crown Jewels,5.6
Perfect Friday,6.9
Pieces of Dreams,0.0
Devil's Angels,6.7
The Time Guardian,4.6
Patrick,4.6
Ruby Red,6.6
The Coconut Revolution,0.0
Poltergeist,5.0
Pan,5.9
While We're Young,5.8
Among the Living,5.4
The Pentagon Papers,6.0
The Boy,5.7
Nice People,9.0
The Circle,5.5
Suite Française,7.1
The Concert for Bangladesh,7.1
Kitchen in Paris,6.5
I Walk Alone,6.2
Too Late for Tears,6.7
Sitting Target,7.2
The Infinite Man,5.9
Insurgent,6.2
Dum Laga Ke Haisha,7.1
Simon & the Oaks,6.3
Big Game,5.3
La vérité si je mens !,6.3
Laissons Lucie faire !,6.0
Fear Over the City,6.8
Berserk: The Golden Age Arc 2 - The Battle for Doldrey,7.2
Berserk: The Golden Age Arc 1 - The Egg of the King,7.1
Berserk: The Golden Age Arc 3 - The Advent,7.4
Hippocrates,6.3
The Tenant of Wildfell Hall,7.0
Glowing Stars,6.9
The Amazing Screw-On Head,8.0
Home,6.8
The Brave Little Toaster Goes to Mars,5.8
Flying Home,5.9
The Detective 2,6.5
Henry VIII and His Six Wives,7.4
I giorni contati,7.0
"Congratulations, It's a Boy!",0.0
Thief,0.0
The Hunt for the Unicorn Killer,5.5
Get Christie Love!,5.5
Where the Lilies Bloom,5.3
Shark Kill,10.0
21 Hours at Munich,5.0
One in a Million: The Ron LeFlore Story,5.5
Secrets of a Married Man,5.0
Something Wicked,4.6
Midnight Special,6.2
The Gunman,5.5
The Disappearance of Eleanor Rigby: Her,6.6
The Disappearance of Eleanor Rigby: Him,6.6
The Color of Time,4.4
Itinerary of a Spoiled Child,7.6
Escobar: Paradise Lost,6.1
Joe Hill,4.9
Maid in Sweden,4.2
The Corpse,4.5
Face-Off,5.5
Goodbye Uncle Tom,6.5
Baby,6.4
The Circle,7.9
Southern Baptist Sissies,10.0
Vengeance Can Wait,6.7
Boys,7.5
Futuro Beach,6.4
Sal,4.0
Furious 7,7.3
Unfriended,5.5
Master of the Universe,6.9
Sadako 3D,5.9
Backcountry,5.8
The Garden of Sinners - Chapter 5: Paradox Spiral,8.1
The No Mercy Man,5.7
Au Pair Girls,4.5
Popsy Pop,0.0
The Happy Hooker,5.3
Mako: The Jaws of Death,5.0
Delta Force 3: The Killing Game,2.5
Schizoid,5.8
Operation Thunderbolt,6.7
Muck,3.5
We Are Still Here,5.6
The Final Girls,6.6
The Happy Hooker Goes To Washington,5.1
Sam's Song,5.5
Gas Pump Girls,5.8
The Godsend,5.4
Hot T-Shirts,1.0
Hospital Massacre,5.3
Lemon Popsicle,6.6
New Year's Evil,5.6
Body and Soul,1.5
A Man Called Sarge,2.0
"Nana, the True Key of Pleasure",4.7
Bolero,3.4
Ghosts Can't Do It,2.5
Robotech: The Movie,4.0
Chain of Command,5.0
The Fruit Machine,6.3
The Whisperer in Darkness,6.7
Mata Hari,3.5
Beauty and the Beast,6.5
Sleeping Beauty,7.4
Crack House,0.0
The Fourth War,5.3
River of Death,4.1
Wild 90,5.0
Midnight Ride,8.0
The Stud,5.0
The Naked Cage,5.5
No Place to Hide,5.0
Rescue Me,5.1
Fifty/Fifty,7.3
When the Whales Came,6.7
Spring,6.5
Power Rangers,7.2
Julie Darling,8.0
The Birthday Party,5.6
Not My Type,6.2
Mall,4.8
Beat the Drum,7.6
Severe Clear,5.5
"Guru, The Mad Monk",5.0
Monaco Forever,2.8
Cymbeline,3.5
Gorilla Bathes at Noon,6.8
Trapped in Space,3.5
Spiders 2: Breeding Ground,4.2
McCinsey's Island,3.3
The Last Chase,3.8
Petals on the Wind,6.2
Mr. Troop Mom,3.8
Balloon Farm,3.5
In the Shadow,5.7
Savage Weekend,4.9
The Comeback,6.0
Schizo,6.7
House of Mortal Sin,6.9
Frightmare,6.9
House of Whipcord,6.2
The Flesh and Blood Show,4.8
Songs She Wrote About People She Knows,0.0
Guter Junge,0.0
Child 44,6.1
Killer Crocodile,6.6
The Conrad Boys,5.3
The Day I Saw Your Heart,5.7
Promises in the Dark,0.0
George Carlin: Life Is Worth Losing,8.1
Legend No. 17,6.9
Love and Pigeons,6.9
The Day That Lasted 21 Years,8.0
Widows,4.5
Santo vs. the She-Wolves,0.0
Light Gradient,5.6
A Little Chaos,6.0
In the Name of the Son,5.9
Innocence,8.6
Bill W.,5.0
The Beautiful Story,8.0
"The Yakuza Papers, Vol. 2: Deadly Fight in Hiroshima",7.7
"The Yakuza Papers, Vol. 3: Proxy War",7.2
"The Yakuza Papers, Vol. 5: Final Episode",6.8
"The Yakuza Papers, Vol. 4: Police Tactics",6.1
Ballermann 6,4.2
Execution Squad,7.5
Get Hard,5.9
Hellgate,4.8
Aziz Ansari: Live at Madison Square Garden,7.0
The Intruders,4.7
That Sugar Film,6.5
The Brass Legend,7.0
But Forever in My Mind,5.5
Mara and the Firebringer,5.5
Stargate SG-1: Children of the Gods - Final Cut,6.9
Die Weihnachtsklempner,0.0
Dinotopia: Quest for the Ruby Sunstone,6.0
The Vexxer,6.3
Santa's Apprentice,4.9
Vollidiot,4.3
20 Years After,2.8
Growing Up and Other Lies,4.0
Ronal the Barbarian,6.2
Sex Up Your Life!,6.4
Forgotten,5.3
Jesus liebt mich,5.1
Mount St. Elias,5.7
Süperseks,0.0
Cinderella III: A Twist in Time,6.0
Playground,0.0
Hui Buh,5.0
The Little Polar Bear: Lars and the Little Tiger,6.0
Girls on Top 2,4.4
Jonas,5.4
"Mickey, Donald, Goofy: The Three Musketeers",6.3
Rudolph the Red-Nosed Reindeer: The Movie,5.8
Russendisko,5.5
Saving Santa,5.1
Forget me not,7.1
Lucky Luke: The Ballad of the Daltons,6.8
The Brain,7.1
Casper's Haunted Christmas,5.0
The Fearless Four,5.5
A House of Secrets: Exploring 'Dragonwyck',0.0
Night of the Living Dorks,5.1
La Planque,7.9
The First Star,5.6
Siegfried,3.7
Superstar Goofy,4.8
Love Exposure,3.0
Erkan & Stefan 2,4.1
Erkan & Stefan 3,3.8
Flodder 3,5.3
Tom and Jerry: A Nutcracker Tale,6.5
Kleines Arschloch - Der Film,4.7
Manta - Der Film,3.9
Girls on Top,4.9
My Führer,5.2
Stopped on Track,6.3
Voll Normaaal,5.0
Werner - Das muss kesseln!!!,5.7
Werner - Volles Rooäää!!!,4.8
What a Man,5.5
7 Dwarves: The Forest Is Not Enough,4.9
The Fat Spy,2.5
"Die Bademeister – Weiber, saufen, Leben retten",2.8
Ants in the Pants 2,4.1
"Manta, Manta",4.9
Oscar and the Lady in Pink,6.7
For a Handful of Kisses,5.4
Vietnam in HD,8.1
Phoenix,6.4
Parallels,6.2
Closed Curtain,7.4
Gentlemen,6.0
A Second Chance,6.7
The Mystery of Happiness,6.3
Dead Rising: Watchtower,5.0
A Dream of Kings,4.5
A Man to Remember,0.0
App,4.8
Arrow In The Dust,5.2
Blueberry Hill,5.0
Born Killers,5.0
Calling Dr. Kildare,4.5
Copper Canyon,4.6
Standby,6.6
New Year's Day,5.5
What Men Talk About,7.6
Three Quarter Moon,5.3
Ants in the Pants,4.5
Werner - Gekotzt wird später!,5.4
Brother Bear 2,6.3
No More School,5.5
Forklift Driver Klaus: The First Day on the Job,8.1
Kein Bund für's Leben,5.4
"Fire, Ice & Canned Beer",4.4
The Pirates,6.4
The Rose of the Rascal,6.6
Innocence,4.3
Southside 1-1000,5.0
The Judge Steps Out,0.0
Kung Fu Jungle,6.5
Last Flight Out,0.0
Heat,5.2
Superdome,0.0
Hurricane,6.0
"Private Vices, Public Virtues",5.5
The Odd Angry Shot,7.3
Deep Space,3.8
Dollar for the Dead,5.3
Five Miles to Midnight,6.5
"Go West, Young Lady",7.0
In God We Tru$t,5.8
Law and Order,6.7
Cattle Annie and Little Britches,5.7
Off the Minnesota Strip,0.0
Lost in a Harem,5.6
Somebody Killed Her Husband,7.5
My Sweet Charlie,0.0
A Covenant with Death,7.0
My Blood Runs Cold,0.0
Six Days in Roswell,8.0
Patrick,6.1
Apache Blood,0.0
Rhubarb,4.2
Sabrina the Teenage Witch,5.2
Safe at Home!,4.5
Shadowheart,5.2
The Good Old Boys,5.4
The Great Man Votes,6.5
The Rig,3.8
The Unknown Cyclist,5.0
The Young Rajah,0.0
Thunderhead - Son of Flicka,0.0
Dear Murderer,5.5
Confession of Murder,7.0
Moby Dick,7.1
Kill Me Three Times,5.5
Underwater Dreams,5.0
Rurouni Kenshin: The Legend Ends,7.5
Rurouni Kenshin: Kyoto Inferno,7.4
Walter,5.3
The Atticus Institute,5.6
The Last Will and Testament of Rosalind Leigh,5.0
Rise of the Legend,6.4
Thunder at the Border,5.5
Kristy,5.9
Gangster Payday,6.1
The Houses October Built,5.5
In Darkness We Fall,5.2
Preservation,4.8
Christmas at Cartwright's,5.8
Altar,4.7
Poker Night,5.9
Marine Boy,6.1
House of Bones,4.3
That Burning Feeling,5.7
Uzumasa Limelight,6.6
Lawrence & Holloman,0.0
The Hagstone Demon,3.4
A Wolf at the Door,6.8
Jellyfish Eyes,6.5
The Ugly Swans,6.6
Moscow,4.7
"A Man, a Woman and a Bank",6.3
Atlántida,0.0
Natural Sciences,6.0
Lions,8.0
The Wild Ones,5.0
Profit Motive and the Whispering Wind,5.0
Balnearios,5.0
Paganini Horror,3.0
Hardbodies 2,4.1
Hardbodies,5.0
My Only Sunshine,6.6
Stitches,0.0
Somersault in a Coffin,8.1
Majority,6.2
Vavien,6.5
Time to Love,8.2
The Angel of Vengeance - The Female Hamlet,5.0
Suçlular aramizda,0.0
The Humbling,5.3
"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet",5.7
Tomboy,5.3
Reckless Kelly,4.3
It Takes Two,5.4
Regarding Susan Sontag,6.3
Terror at the Mall,8.0
Malibu Beach,4.3
Hamburger: The Motion Picture,5.1
Jocks,3.4
Last Resort,4.0
The Maker,5.1
Can of Worms,5.2
Babycakes,4.0
Willy/Milly,6.0
Little White Lie,5.3
Beauty and the Beast,7.8
Apartment Troubles,5.4
Lily & Kat,4.4
Loaded,4.0
Running Hot,6.5
Camp Cucamonga,4.7
My American Cousin,4.7
Quarterback Princess,5.3
Cheerleaders' Wild Weekend,2.7
Casomai,6.0
Stud Life,5.0
Sherlock Holmes in New York,6.0
Garden of Love,3.8
Shaun the Sheep Movie,6.9
Infinitely Polar Bear,6.9
Bastards,6.1
3:15,6.0
Hot Times at Montclair High,6.0
Puberty Blues,5.4
Computer Beach Party,3.0
The Check Is in the Mail...,7.0
P.R.O.F.S,6.6
Poison Ivy,5.4
An Insignificant Harvey,6.3
The Big Steal,6.0
The Whoopee Boys,0.0
Preppies,0.0
The Beach Girls,5.2
Tell Me a Riddle,0.0
Goin' All the Way!,3.5
The Bermuda Triangle,6.2
The Ages of Love,5.2
Last Knights,6.2
The Viral Factor,5.6
Kiss Me Again,5.3
Penny Pinchers,7.3
Boobs: An American Obsession,0.0
The Jinx: The Life and Deaths of Robert Durst,8.6
Matt Shepard Is a Friend of Mine,8.2
Cavegirl,4.8
Streetwalkin',7.0
Screen Test,0.0
Batman vs. Robin,6.8
Liar's Moon,4.8
Nice and Easy,6.9
Cheatin',8.2
Cannibal Girls,3.8
High School U.S.A.,6.0
Virgin High,6.0
What's New About Love?,5.0
Seven Minutes in Heaven,6.6
Senior Week,3.0
The Invisible Kid,5.6
Stewardess School,4.2
Pretty Smart,0.0
Monster High,6.2
Woman in Gold,7.3
Sole Survivor,7.3
The Postman's White Nights,7.4
The Seat Filler,4.8
Crisis Hotline: Veterans Press 1,8.0
Done the Impossible,6.8
Echoes,4.2
Stadtgespräch,6.2
Men...,7.1
Iliza Shlesinger: Freezing Hot,6.9
Doug Benson: Doug Dynasty,1.0
Samba,6.4
Once Upon A Mattress,5.2
The Sound of Music Live!,5.9
Bill Bailey: Part Troll,7.4
Rafferty and the Gold Dust Twins,8.0
Cut Bank,5.4
Les mauvaises têtes,8.0
Toutes les Filles sont Folles,5.5
Seven Dwarfs,5.2
Killing Jesus,4.0
The Mad Genius,6.7
Water's Edge,5.0
Outing Riley,4.8
Hollywood Hot Tubs,4.0
Hot Moves,5.0
Nightmare Weekend,1.5
Dance 'Til Dawn,5.5
Slaughter High,6.4
Old Enough,6.1
The Revenge of the Teenage Vixens from Outer Space,0.0
They're Playing with Fire,4.3
Beach Balls,4.0
Getting Lucky,7.0
Surf II,6.3
Summer Camp,2.5
Nobody's Perfect,7.3
Gorp,3.9
Dangerous Curves,4.3
Can It Be Love,2.0
The Road Within,6.7
Lovelines,0.0
Oddballs,3.5
Modern Girls,5.7
The Malibu Bikini Shop,4.6
Space Dogs,6.3
Body Waves,7.0
The First Turn-On!,4.2
Beach House,7.0
Let's Do It!,0.0
Gregory's Two Girls,5.3
Body Rock,2.2
Cash McCall,7.5
The 317th Platoon,5.7
Breaking All the Rules,6.0
Gimme an 'F',4.3
Welcome to 18,0.0
Thunder Alley,4.8
"Guten Tag, Ramón",8.1
Getting It On,0.0
Teen Vamp,3.5
The Princess Academy,7.0
Night School,5.6
One Night Only,10.0
One Dark Night,5.9
"Sarah, Plain and Tall - Winter's End",4.8
Anna and the Wolves,8.0
Lemonade Mouth,7.1
Sex Appeal,3.0
School Spirit,4.0
Basic Training,6.5
Ghost Chase,5.6
Under the Boardwalk,0.5
The First Time,5.0
Copperhead,5.0
Borderline,5.5
The Clown at Midnight,4.9
Tomorrowland,6.2
Dead Girls,2.5
Sleeping Dogs,5.7
Crooks and Coronets,10.0
The Forger,5.4
Long Live Freedom,7.2
Electricity,5.8
Ballerina,8.0
Monsoon Baby,0.0
Luton,3.8
Far from Men,6.6
And the Oscar Goes To...,7.1
Armi Alive!,4.7
No No: A Dockumentary,7.0
The Naked Ape,5.0
Hiver rouge,0.0
Bleu catacombes,0.0
Let It Be Me,8.0
Pas d'inquiétude,5.5
Death Carries a Cane,6.3
Graffiti Wars,6.0
Weather Girl,5.6
Dudes,6.2
Good Kill,5.9
Premutos: Lord of the Living Dead,4.2
Kamikaze Taxi,0.0
Alex of Venice,5.9
A House In The Hills,6.0
Hungry Hearts,6.6
Say Nothing,9.0
Faults,6.8
Cub,5.7
Swearnet: The Movie,5.1
15 Years and One Day,6.4
The Barber,5.9
The Woman with the 5 Elephants,6.5
Good Deeds,6.2
In Search of Memory,5.0
Black Souls,6.3
The Harvest,5.9
PMMP – Life is Right Here,0.0
The 7 Grandmasters,6.7
Buzzard,5.8
Ape,6.3
Paul Blart: Mall Cop 2,5.0
The Reconstruction of William Zero,5.1
Mine,8.5
Toxin,3.6
The Elevator: Three Minutes Can Change Your Life,4.8
El Infierno,7.5
Time Traveller: The Girl Who Leapt Through Time,5.4
The Bitter Buddha,8.0
Adult Beginners,5.3
The Invisible Men,5.0
At World's End,5.4
Parts Per Billion,4.4
Alléluia,6.3
Tizoc,4.8
"It's Me, Hilary: The Man Who Drew Eloise",6.0
The Revengers,6.2
The Surrealist and His Naughty Hand,0.0
Sylvia,0.0
Voices of the Andes,0.0
"Exhausted: John C. Holmes, the Real Story",7.0
Forbidden Photos of a Lady Above Suspicion,7.2
Death Walks on High Heels,6.7
Death Walks at Midnight,6.4
Badge 373,5.5
The Last Mile,5.4
Born Reckless,1.0
Frankenstein 1970,4.3
Shield for Murder,7.0
"September 30, 1955",0.0
"Number, Please?",7.4
Amelia Earhart: The Final Flight,0.0
Andy Hardy's Private Secretary,5.5
Final Voyage,3.5
First to Fight,0.0
Heathens and Thieves,6.0
King Lear,7.0
King Lear,8.0
Man from Del Rio,7.1
Miranda,5.3
Muffin Top: A Love Story,4.4
Mutant Hunt,3.9
Born in Absurdistan,5.6
Nightmares,5.0
The Pasta Detectives,6.2
The Duke Is Tops,6.0
About a Girl,7.3
The Maltese Bippy,0.0
Watchers II,4.7
The Outsider,6.0
