genero_principal,title,vote_average
Drama,Kid Cannabis,6.3
Drama,The Home and the World,7.2
Drama,The Stranger,8.0
Documentary,Trances,6.4
Music,Une Chambre en Ville,6.9
Adventure,Zatôichi and the Fugitives,5.0
Adventure,Zatôichi at Large,6.0
Comedy,Jim Gaffigan: Obsessed,7.4
Animation,Legends of Oz: Dorothy's Return,5.8
Documentary,The Lady in Number 6,6.9
Comedy,Chef,7.2
Action,The Doll Squad,5.5
Action,The Treasure Hunter,3.9
Drama,Burton and Taylor,6.2
Documentary,In a Town This Size,0.0
Action,Strip Search,6.0
Crime,The Brasher Doubloon,4.7
Drama,Blaise Pascal,7.5
Thriller,Rosemary's Baby,6.1
Horror,The Beach Girls and the Monster,2.6
Comedy,Top Banana,6.0
Thriller,Body Of Water,6.0
Thriller,Lesson of the Evil,6.8
Adventure,Zatôichi in Desperation,5.4
Comedy,The Love God?,7.4
Comedy,The Last Time I Saw Archie,6.0
Drama,24 Exposures,3.9
Action,Zatôichi's Conspiracy,6.1
Comedy,"10,000 km",6.3
Comedy,A Kiss in the Dark,6.0
Drama,The Normal Heart,7.9
Adventure,Man Friday,6.3
Science Fiction,Invaders from Space,0.0
Documentary,Utopia,5.3
Documentary,Welcome to Australia,0.0
Horror,Afflicted,6.4
Drama,Interior. Leather Bar.,5.6
Horror,American Horror House,4.9
Horror,An American Ghost Story,4.2
Drama,Our Time,7.0
Horror,The Mansion of Madness,3.8
Drama,An Enemy of the People,6.1
Thriller,Turks & Caicos,6.5
Action,Salting the Battlefield,6.3
Documentary,Birth of the Living Dead,6.6
Action,Gen-Y Cops,5.0
TV Movie,Die Fischerin,5.0
Documentary,Dark Girls,6.4
Comedy,Blended,6.6
Comedy,Begin Again,7.3
Drama,Kelly & Cal,5.9
Documentary,A Brony Tale,6.3
Action,Mega Python vs. Gatoroid,3.5
Science Fiction,Big Ass Spider!,5.4
Comedy,The Heat's On,3.3
TV Movie,An Enemy of the People,0.0
Drama,Anna Nicole,5.0
Documentary,The Short Game,7.3
Documentary,12 O’Clock Boys,6.2
Drama,A Message to Garcia,0.0
Horror,Nightwing,5.8
Mystery,Satan's School For Girls,5.9
Comedy,The One and Only,5.5
Fantasy,Maleficent,7.0
Thriller,The Two Faces of January,5.5
Horror,Zombeavers,4.8
War,Toward the Unknown,7.0
Horror,Monster Hunter,5.3
Action,April Rain,2.1
Romance,At Middleton,5.9
Drama,Babysitters Beware,5.0
Drama,A.C.A.B. All Cats Are Brilliant,6.0
Drama,Loving,7.8
Drama,Lola,5.8
Comedy,Beneath the Valley of the Ultra-Vixens,5.4
Drama,The Girl He Left Behind,5.0
Western,Shoot-Out At Medicine Bend,0.0
War,Darby's Rangers,6.0
Drama,Having You,4.5
Mystery,Backfire,5.5
Crime,Backfire,5.5
Animation,Scooby-Doo! WrestleMania Mystery,6.4
Drama,The Dance of Reality,7.3
Comedy,The Love Punch,5.7
TV Movie,Ordinary Miracles,6.5
Comedy,A Million Ways to Die in the West,5.8
Horror,The Cabinet of Caligari,5.6
Comedy,Bye Bye Monkey,5.9
Drama,Empire of Silver,5.8
Documentary,Mile... Mile & A Half,8.8
Documentary,I Like Killing Flies,6.9
Action,Edge of Tomorrow,7.6
Drama,Little England,6.6
Comedy,Serial (Bad) Weddings,6.9
Drama,The Pied Piper,4.7
Crime,An Unreal Dream: The Michael Morton Story,5.0
Western,The Violent Men,5.8
Adventure,Tracks,7.0
Action,Mission: Impossible - Rogue Nation,7.1
Adventure,Neverland,6.0
Fantasy,Midnight Chronicles,3.8
Fantasy,Gulliver's Travels,4.0
Western,Catlow,4.4
Drama,Million Dollar Arm,6.6
Comedy,This Thing with Sarah,5.0
Comedy,G.B.F.,6.0
Drama,Jack the Ripper,6.1
Drama,Sunlight Jr.,5.1
Crime,Narco Cultura,7.1
Action,Once Upon a Time in Shanghai,6.9
Drama,Jimi: All Is by My Side,5.3
Drama,A Man Named Rocca,6.5
Comedy,A Crime in Paradise,6.1
Thriller,Backfire,5.8
Action,Bad Ass 2: Bad Asses,5.7
Drama,Bad Boy,8.0
War,Battle Circus,6.8
Crime,The Odds,5.5
Documentary,Generation Iron,6.9
Drama,"X, Y and Zee",5.2
Thriller,Flight 7500,4.3
Action,Battle of the Damned,4.8
Comedy,Best Foot Forward,0.0
Comedy,Black Coffee,6.1
Drama,Love and Pain and the Whole Damn Thing,6.0
Documentary,The Revolutionary,5.0
Documentary,#chicagoGirl,7.0
Documentary,Liv & Ingmar,7.6
Drama,Mr. Baum,0.0
Drama,Mad Love,8.0
Documentary,Bettie Page Reveals All,7.1
Romance,Luv,0.0
Fantasy,Cinderella,5.4
Drama,Lilting,7.0
Drama,A Night in Old Mexico,5.3
Drama,Teresa,6.0
Thriller,Cry Terror!,4.3
Romance,The Fault in Our Stars,7.6
Comedy,The Grand Seduction,6.7
Horror,Welcome to the Jungle,5.5
Horror,Raze,5.3
Drama,Black Nativity,5.8
Drama,Blood of Redemption,5.3
Animation,Cinderella,6.0
Horror,Occupant,5.2
Animation,Minuscule: Valley of the Lost Ants,6.6
Drama,Jayne Mansfield's Car,5.9
Action,Hot Rods To Hell,3.9
Drama,Princesse Tam Tam,4.0
Crime,Rumble on the Docks,0.0
Horror,The Thompsons,4.4
Animation,Tangled Ever After,7.1
Comedy,Tercera Llamada,6.0
Adventure,13 Frightened Girls,6.2
Action,Against All Flags,6.2
Comedy,Andy Hardy Meets Debutante,6.5
Comedy,Annabel Takes a Tour,0.0
Drama,Backstairs,5.5
Drama,One on One,4.8
Drama,Camille Claudel 1915,7.0
Comedy,A Letter to Momo,7.2
Drama,Maps to the Stars,5.8
Drama,Helen,6.5
Drama,Go Fast,5.8
Comedy,My Best Enemy,6.0
Western,The Wrath of God,5.1
Science Fiction,The Shape of Things to Come,4.5
Documentary,The Case Against 8,8.0
Drama,Goodbye World,5.3
Romance,Frequencies,6.6
Action,So Undercover,5.8
Thriller,Mindscape,6.5
Drama,Northeast,0.0
Drama,Asylum,0.0
Comedy,Back in the Day,5.4
Comedy,Bikini Spring Break,3.8
Crime,22 Jump Street,7.0
Drama,Human Capital,7.4
Thriller,The Equalizer,7.1
Drama,For Ellen,5.3
Fantasy,How to Train Your Dragon 2,7.6
Drama,Lord of Tears,5.5
Drama,The Sudden Wealth of the Poor People of Kombach,7.7
Comedy,Bambou,5.0
Drama,Birdman,7.4
Drama,Lope,5.6
Drama,Saving Grace B. Jones,4.5
Comedy,Sexual Chronicles of a French Family,4.3
Western,Bitter Creek,0.0
Crime,Murder by Proxy,6.1
Horror,Blackout,4.4
Horror,Blood Shed,4.5
Adventure,Born Reckless,5.3
Comedy,"Tell Me That You Love Me, Junie Moon",6.7
Drama,Play It As It Lays,7.3
Drama,17 Girls,5.6
Horror,Crawlspace,4.7
Documentary,Broadway Idiot,6.8
Drama,Broken Kingdom,6.0
Drama,Brooklyn Babylon,6.0
Drama,The Dirties,6.0
Drama,The Mind of Mr. Soames,7.0
Adventure,Mrs. Pollifax: Spy,7.5
Thriller,Snapshot,5.5
Thriller,Brainstorm,6.7
Documentary,Money as Debt,5.8
War,Beginning of an Unknown Era,5.3
Comedy,Norman... Is That You?,5.8
Drama,I See a Dark Stranger,5.1
Drama,Brother,6.5
Documentary,For No Good Reason,5.8
Horror,Haunt,5.1
Documentary,Doc of the Dead,7.0
Drama,I Do,5.0
Action,The Legend of the 7 Golden Vampires,5.8
Drama,Coming Home,6.9
Drama,Boyhood,7.5
Drama,The Trials of Cate McCall,5.8
Comedy,Tillbaka till Bromma,5.7
Drama,Saints and Soldiers: Airborne Creed,5.2
Comedy,Tall Story,10.0
Comedy,Think Like a Man Too,6.3
Comedy,Thin Ice,0.0
Comedy,The Pool Boys,5.0
Music,Jersey Boys,6.8
Drama,The Corridor,4.8
Science Fiction,Nick Fury: Agent of S.H.I.E.L.D.,3.4
Action,The Pirates of Blood River,5.7
Drama,Bitch Hug,6.5
Thriller,Caprice,6.1
Crime,The Internet's Own Boy: The Story of Aaron Swartz,7.8
Documentary,Anita,6.8
Documentary,112 Weddings,6.7
Adventure,A Fine Pair,3.0
Family,A Kid for Two Farthings,6.1
Mystery,A Woman's Secret,5.0
Mystery,The Deadly Trap,5.5
Science Fiction,Transformers: Age of Extinction,5.8
Drama,Metalhead,6.9
Thriller,Russian Roulette,5.0
Science Fiction,Attack of the 50 Ft. Woman,4.1
Drama,August,6.3
Adventure,Our Man In Marrakesh,6.3
Western,Belle Starr,6.0
Western,Belle Starr,8.5
Documentary,Finding Vivian Maier,7.8
Action,Jack Strong,6.1
Horror,Jennifer,8.7
Thriller,Perfect Sisters,5.5
Crime,Belly 2: Millionaire Boyz Club,5.3
Drama,Beware of Pity,4.5
Comedy,Frank,6.8
Comedy,I Belong,7.0
Comedy,Mama's Boy,4.4
Drama,In Bloom,6.9
Drama,Very Good Girls,5.9
Drama,Joe's Palace,4.5
Science Fiction,Day of the Animals,5.3
Action,Savage Beasts,5.6
Documentary,Happy Birthday to a Beautiful Woman,0.0
Comedy,They Came Together,5.3
Documentary,Questioning Darwin,0.0
Drama,Honey,6.3
Drama,The Son-Daughter,0.0
Animation,Planes: Fire & Rescue,5.8
Action,Black Gunn,5.0
Action,"Shoot First, Die Later",5.9
Drama,"So Evil, So Young",0.0
Documentary,Elaine Stritch: Shoot Me,8.4
Drama,Wild Oranges,6.0
Drama,Stuart: A Life Backwards,7.7
Thriller,The Mortician,5.9
Comedy,Not Another Not Another Movie,2.8
Comedy,Mrs. Brown's Boys D'Movie,4.7
Comedy,Sunburn,6.0
Comedy,Francis,6.6
Comedy,The Gunfighter,7.0
Documentary,Let the Fire Burn,7.3
Comedy,Tammy,5.0
Comedy,Kabhi Haan Kabhi Naa,7.2
Drama,Radio Free Albemuth,5.3
Animation,Colorful,7.2
Drama,The Babadook,6.5
Adventure,Mystery on Monster Island,4.8
History,Killer Legends,5.7
Horror,Black Moon,4.8
Drama,Blue,7.3
Drama,Blue,0.0
Comedy,Brother Rat,0.0
Drama,White God,6.6
Drama,Whiplash,8.3
Drama,Luther,0.0
Mystery,Gone Girl,7.9
Comedy,Brother's Justice,5.1
Drama,The Angriest Man in Brooklyn,5.5
Documentary,Life Itself,7.7
Drama,Brothers,0.0
Adventure,Ride the Divide,0.0
Documentary,Finding Fela,6.0
Action,Duplicate,5.6
Drama,Missing William,3.5
Thriller,Favor,6.5
Horror,Dogs,4.0
Drama,The Sunfish,5.8
Horror,Eye of the Cat,5.5
Horror,Massacre in Dinosaur Valley,5.4
Drama,Chronicle of a Disappearance,6.0
Science Fiction,Dawn of the Planet of the Apes,7.3
Drama,The Great Magician,6.5
Action,The Ultimate Warrior,4.6
Adventure,Ra.One,5.4
Thriller,Gun Woman,4.8
Drama,A Child in the Crowd,7.3
Drama,Le Rebelle,0.0
Drama,Watercolors,6.0
Documentary,The Battered Bastards of Baseball,7.7
Horror,No One Lives,5.5
Documentary,Unraveled,6.3
Western,Buckskin Frontier,0.0
Comedy,Budz House,4.3
Action,Bullet,4.2
Western,Bullet for a Badman,5.0
Documentary,Bulletproof Salesman,0.0
Drama,Miss Violence,6.7
Drama,A Dispatch from Reuter's,3.5
Comedy,Bachelor Flat,0.0
Horror,The Beast with a Million Eyes,2.9
Drama,The Strange One,0.0
Action,Summer School,5.7
Western,Billy Two Hats,5.4
Drama,Buffalo Bill,5.3
Thriller,Deliver Us from Evil,5.9
Drama,If I Were You,7.5
Action,The Saratov Approach,5.4
History,Jonestown: Paradise Lost,6.5
Drama,Charlie's Country,7.4
Comedy,Finding Normal,5.4
Drama,Margaret Thatcher: The Long Walk to Finchley,7.0
Comedy,And So It Goes,5.7
Horror,Ju-on: The Beginning of the End,6.0
Thriller,Torment,5.0
Drama,Healing,6.6
Fantasy,Hellphone,4.3
Comedy,Premature,5.4
Horror,The Brain,4.6
Horror,The Severed Arm,4.2
Horror,Bloodline,1.0
Horror,Unrated II: Scary as Hell,0.5
Action,Air Panic,4.1
Horror,Darkest Night,1.3
Comedy,Sex Tape,5.2
Drama,Going Down in La-La Land,6.2
Science Fiction,Operation Ganymed,3.3
Comedy,Pinball Summer,3.8
Western,Ride Beyond Vengeance,3.0
Thriller,EMR,5.0
Science Fiction,I Origins,7.5
Animation,Gunbuster vs Diebuster Aim for the Top! The GATTAI!! Movie,6.5
Drama,The Front Line,7.1
Documentary,Wrestling For Jesus: The Tale of T-Money,7.0
Comedy,One Man Up,7.2
Horror,The Purge: Anarchy,6.6
Romance,Bullets For O'Hara,5.0
Comedy,Bundle of Joy,7.0
Family,Bush Christmas,6.0
Comedy,Words and Pictures,6.5
Action,Guardians of the Galaxy,7.9
Romance,The Ghost Goes West,5.9
Documentary,The Nazi Officer's Wife,5.0
Adventure,10.5,5.9
Mystery,The Strange Color of Your Body's Tears,6.0
Thriller,The Signal,5.8
Drama,The Ballroom,6.3
War,Busses Roar,8.0
Comedy,But Not For Me,6.0
Horror,Butcher Boys,3.1
Comedy,By Dawn's Early Light,5.0
History,Jimmy's Hall,6.5
Comedy,Super Hero Party Clown,0.0
Adventure,Willow Creek,5.0
Action,The Expendables 3,6.1
Action,Gunday,5.7
Drama,Goliyon Ki Raasleela Ram-Leela,7.1
Action,Ek Villain,6.3
Drama,Kites,6.0
Action,Hercules,5.6
Comedy,Monty Python Live (Mostly),7.2
History,Once My Mother,0.0
Documentary,Blood in the Mobile,8.1
Drama,Hide Your Smiling Faces,6.3
Drama,Paradise: Hope,5.9
Drama,Villa Amalia,5.5
Drama,The Detective,5.9
Thriller,A Most Wanted Man,6.5
Mystery,Sky Murder,6.0
Drama,Molly Maxwell,6.4
Drama,Wish I Was Here,6.4
Drama,Sandakan No. 8,7.3
Drama,Sex in Chains,5.0
Science Fiction,Valley of the Dragons,5.0
Comedy,Coney Island,6.3
Comedy,Never Weaken,6.8
Crime,Go for Sisters,5.3
Drama,Playing with Love,5.4
Comedy,C.O.G.,5.4
Comedy,C'mon Man,0.0
War,Julius Caesar,5.3
Drama,Cafe,5.2
Comedy,Café Metropole,5.5
Action,The Wrath of Cain,5.5
Comedy,Lust for Love,5.1
Comedy,The Pursuit of Unhappiness,6.7
Horror,Ella y el miedo,0.0
Drama,Sorrow and Joy,7.8
Comedy,Family United,6.1
Western,California Conquest,0.0
Comedy,Call Me Bwana,7.0
Comedy,Two Tars,7.4
Horror,The Visitor,4.6
Thriller,The Unholy Wife,4.0
Drama,The Keeper,5.3
Adventure,Rasmus and the Vagabond,4.7
Comedy,The Stag,5.4
Comedy,Finding Bliss,5.3
TV Movie,Gracie's Choice,6.2
Action,Father and Guns,6.1
Mystery,Loser Takes All!,5.2
Action,Boogie,5.9
Comedy,Tables Turned on the Gardener,7.0
Adventure,Call of the Wild,6.1
Thriller,Hellion,5.5
Comedy,The Trip to Italy,6.4
Animation,Food,7.6
Drama,For a Woman,6.0
Family,Earth to Echo,5.7
Drama,Two Lives,6.3
Action,Largo Winch II,5.9
Drama,Westfront 1918,5.8
Adventure,Maidentrip,7.4
Documentary,Kidnapped for Christ,6.7
Drama,8-Ball,6.1
Romance,Step Up All In,6.7
Thriller,The Mystery of the 13th Guest,4.3
Science Fiction,Invasion of the Star Creatures,4.0
Thriller,Gog,5.4
History,Video Games: The Movie,5.9
Documentary,The Girl Who Talked to Dolphins,5.5
Documentary,Val Lewton: The Man in the Shadows,7.0
War,Return to Life,0.0
Horror,Sharktopus vs Pteracuda,4.2
Drama,The Key,0.0
Comedy,A Day's Pleasure,5.6
Action,America 3000,3.8
Drama,An Eye for an Eye,0.0
Comedy,Andy Hardy's Blonde Trouble,6.3
Comedy,Sexual Life,4.0
Romance,Life After Beth,5.0
Drama,Lowlands,6.0
Animation,Around June,4.0
Action,C.C. and Company,6.0
Mystery,Felony,5.4
Crime,The Rover,6.1
Documentary,Slaying the Badger,10.0
Action,Shark!,2.0
Comedy,The Italian,5.5
Drama,Get on Up,6.4
Documentary,The Last Mogul,4.5
Documentary,1,7.3
Action,The Suspect,6.9
Science Fiction,Space Milkshake,5.7
Documentary,The Dog,6.6
Drama,A Fool There Was,5.3
Comedy,Magic in the Moonlight,6.5
Drama,Impudent Girl,6.9
TV Movie,Our Fathers,5.6
Comedy,Pucked,4.5
Mystery,The Thirty Nine Steps,7.3
Horror,Abby,5.4
Drama,And While We Were Here,6.0
Drama,Winter Sleep,7.6
Comedy,What! No Beer?,0.0
Thriller,In Order of Disappearance,7.0
Horror,Housebound,6.5
Family,Zarafa,6.5
Comedy,Le Nouveau Jean-Claude,4.5
Horror,Screamtime,4.8
Comedy,Very Happy Alexander,5.5
Drama,The Hundred-Foot Journey,7.3
Thriller,Batman: Assault on Arkham,7.3
Drama,White Frog,5.5
Documentary,Where the Trail Ends,7.5
Thriller,A Lady Without Passport,2.2
Western,Ambush,4.2
Action,Ambush,6.0
Comedy,R100,5.4
Adventure,Rituals,6.6
Documentary,American Revolutionary: The Evolution of Grace Lee Boggs,0.0
Action,The Dragon Missile,6.7
Mystery,The Fifth Cord,5.8
Horror,The Den,6.2
Drama,Zero Motivation,6.2
Action,Blade on the Feather,0.0
Mystery,Calling Bulldog Drummond,6.0
Comedy,Free Samples,6.0
Action,Quicksand,5.9
Science Fiction,Jupiter Ascending,5.2
Science Fiction,Teenage Mutant Ninja Turtles,5.8
Science Fiction,I'll Follow You Down,6.0
Crime,Death in Buenos Aires,5.7
Documentary,Who the F**K Is Arthur Fogel,5.0
Action,Camouflage,4.8
Crime,Rob the Mob,6.2
Drama,The Hero,7.6
Animation,The Old Lady and the Pigeons,7.6
Mystery,The Reckoning,4.7
Drama,The Giver,6.4
Drama,Only God Knows,6.3
Comedy,The Pretty One,6.1
Drama,Revenge of the Green Dragons,5.2
Documentary,Unborn in the USA: Inside the War on Abortion,7.0
Mystery,Mr. Wong in Chinatown,4.5
Documentary,Cane Toads: The Conquest,6.8
Documentary,So Much So Fast,8.5
Crime,Crossroads,7.1
Comedy,Rendezvous,5.1
Comedy,Let's Be Cops,6.4
Comedy,Can I Do It Till I Need Glasses?,4.0
Comedy,Paradise,5.0
Documentary,My way to Olympia,5.0
Drama,D-Day The Sixth of June,6.4
Music,Direct from Brooklyn,0.0
Drama,The Autobiography of Miss Jane Pittman,3.3
Horror,The Strangler,8.5
War,Alexander: The Neva Battle,3.8
Crime,An Act of Murder,7.3
Comedy,Antboy,5.3
Adventure,Antboy: Revenge of the Red Fury,6.7
Animation,Appleseed Alpha,6.4
Drama,Generation Um...,4.1
Adventure,Carry On... Up the Khyber,6.9
Adventure,The Wise Guys,7.1
Crime,Switch,6.1
Documentary,Six Days in June,0.0
Western,Snake River Desperadoes,3.5
Fantasy,Bad Johnson,4.5
Romance,Campus Rhythm,4.0
Action,Captain Blood,6.3
Comedy,The Inbetweeners 2,6.1
TV Movie,Jesse Stone: Thin Ice,6.7
Thriller,State Affairs,6.0
Drama,The First Man,5.6
War,Sarraounia,5.0
History,Buud Yam,5.0
Adventure,Captain Nemo and the Underwater City,5.3
Action,Breaking Point,4.0
Family,My Summer Story,6.0
Thriller,Age of Tomorrow,2.9
Drama,Osaka Elegy,6.3
Drama,The Wild Party,5.8
Western,The Phantom Stagecoach,0.0
Horror,The Sacrament,5.6
Music,Make Your Move,6.2
Crime,Sin City: A Dame to Kill For,6.3
Comedy,Authors Anonymous,4.2
War,The Last Blitzkrieg,4.5
Comedy,How to Be a Man,6.3
Drama,Fingers at the Window,4.5
Drama,If I Stay,7.3
Documentary,WWE: The Rise & Fall of ECW,7.5
Drama,A Circle of Deception,0.0
Adventure,The Message,7.6
Drama,All the Way Home,5.5
Comedy,The Man Who Couldn't Say No,5.0
Music,The Other F Word,6.4
Documentary,A Message from Akira Kurosawa: For Beautiful Movies,0.0
Drama,The Lights of Ten Thousand Homes,5.0
Horror,The Canal,5.7
Thriller,Night Moves,5.8
Action,The Split,6.0
Thriller,Boom!,6.5
Drama,Avalon,5.6
Action,Bandido!,5.0
Action,Barquero,6.2
Drama,Proxy,5.9
Drama,The Effect of Love,4.0
History,Boris Godunov,2.5
Comedy,Happy New Year,6.6
Comedy,Are You Here,5.0
Drama,Alligator Eyes,0.0
Drama,Welcome to New York,5.3
Drama,"Two Days, One Night",6.8
Science Fiction,Kummeli V,5.9
Science Fiction,The Tunnel,2.5
Comedy,Losers' Club,6.6
Horror,Lights Out,7.5
Comedy,The Undertaker and His Pals,4.6
Horror,2AM: The Smiling Man,6.6
Documentary,How the Myth Was Made: A Study of Robert Flaherty's Man of Aran,0.0
Romance,"I Love, You Love",5.0
Documentary,The Space Movie,3.8
Thriller,Coherence,7.2
Romance,Just A Gigolo,7.5
Drama,Redwood Highway,7.0
Mystery,The Scarlet Clue,5.9
Comedy,A Birder's Guide to Everything,6.5
Comedy,A Woman's Tale,4.3
Mystery,Arsène Lupin Returns,6.5
Drama,Beautiful,6.6
Drama,King's Faith,7.0
Drama,Cantinflas,5.5
Horror,The Pyramid,4.6
Horror,Exists,4.8
Documentary,Waiting for Armageddon,8.0
Comedy,Life of Crime,5.5
Action,Cat Run 2,4.5
Horror,"As Above, So Below",6.1
Drama,Hostile Witness,6.3
Documentary,"Peace, Propaganda & the Promised Land",6.4
Documentary,Reel Bad Arabs: How Hollywood Vilifies a People,5.9
Thriller,A Blast,5.5
Comedy,Charlie Chan in the Secret Service,7.1
Thriller,The Living Ghost,4.0
Crime,Behind That Curtain,4.1
Music,Breakout,5.3
Crime,Bullet Scars,0.0
Romance,The One I Love,6.8
Comedy,Passenger Side,5.7
Drama,Among Us,3.2
Documentary,Killing Us Softly 4: Advertising's Image Of Women,7.0
Documentary,No Logo: Taking Aim at the Brand Bullies,0.0
Documentary,Killing Us Softly 3: Advertising's Image of Women,0.0
Drama,Headshot,6.1
Action,El niño,6.5
Horror,Antisocial,4.6
Documentary,The Red Elvis,8.0
Documentary,The Codes of Gender,6.1
Mystery,The Guest,6.5
Music,Woodstock Diary,0.0
Horror,Leprechaun: Origins,3.8
Documentary,To Be Takei,6.9
Drama,Captive Heart: The James Mink Story,0.0
Science Fiction,Angry Video Game Nerd: The Movie,5.6
Comedy,A Guy and a Gal,6.0
Drama,Zaza,0.0
Action,The Long Ride Home,0.0
Comedy,The Holy Man,5.4
Drama,Bottled Up,5.5
Horror,The Beast Must Die,6.2
Documentary,Vinyl,7.0
Comedy,Oklahoma Crude,6.7
Crime,The Pyx,5.6
Documentary,Nixon by Nixon: In His Own Words,6.5
Crime,House of Women,0.0
Crime,A Dangerous Profession,5.5
Comedy,A Lady of Chance,0.0
Comedy,Aaron Loves Angela,0.0
Drama,Alamo Bay,4.6
Drama,Ann Carver's Profession,0.0
Comedy,Beauty and the Boss,7.0
Action,2081,7.2
Documentary,Mi Amigo Hugo,1.0
Comedy,Två killar och en tjej,5.0
Documentary,Slow Southern Steel,0.0
Adventure,Blazing Guns,0.0
Drama,Boy of the Streets,3.0
History,Cardinal Richelieu,0.0
Adventure,Care Bears To the Rescue,6.0
Action,The Sell Out,7.0
Animation,The Little Norse Prince,6.4
Comedy,"Things I Like, Things I Don't Like",7.1
Documentary,Return to Homs,7.4
Mystery,Before I Go to Sleep,6.2
Documentary,The New Rulers of the World,5.3
Drama,Atlas Shrugged Part III: Who is John Galt?,3.9
History,The Great King,7.0
Drama,Career,0.0
Drama,Pride,7.7
Action,Into the Storm,5.8
Thriller,The Calling,5.6
Thriller,Aftermath,4.3
Drama,Third Person,5.8
Horror,Honeymoon,5.4
Drama,God's Pocket,5.7
History,Tennessee Johnson,6.0
Drama,The Drop,6.7
Drama,The Motel Life,5.7
Horror,Pharaoh's Curse,4.4
Documentary,"20,000 Days on Earth",7.0
Documentary,Captivated: The Trials of Pamela Smart,6.4
Documentary,A Good Job: Stories of the FDNY,0.0
Animation,Cheech & Chong's Animated Movie,4.5
Drama,The Skeleton Twins,6.7
Action,Saint Seiya: Legend of Sanctuary,5.0
Animation,Where The Dead Go to Die,6.4
Animation,Bambi Meets Godzilla,6.5
Horror,A Return to Salem's Lot,4.4
Comedy,Advance To The Rear,5.7
Horror,Camel Spiders,3.5
Music,Carnegie Hall,0.0
Comedy,Very Ordinary Couple,5.4
Comedy,Dim Sum: A Little Bit of Heart,2.5
Drama,Newsfront,5.0
Documentary,Beautiful Losers,6.8
Action,Bullies,4.5
Adventure,"20,000 Leagues Under the Sea",6.3
Comedy,Carry On Spying,6.4
Western,Carson City,4.0
Thriller,Cast a Dark Shadow,6.0
Crime,Castle in the Desert,7.1
Documentary,Aftermath: Population Zero,6.7
Comedy,Grassroots,5.1
Action,The Groundstar Conspiracy,6.1
Documentary,Tattoo Nation,6.8
Romance,The Shamrock Handicap,5.0
Drama,American Dreams in China,6.7
Thriller,The Naked Face,5.7
Action,The Maze Runner,7.0
Crime,No Good Deed,5.6
Drama,Camp X-Ray,6.7
Documentary,Hori Smoku Sailor Jerry,10.0
Drama,Men Without Women,4.7
Documentary,Below Sea Level,6.5
Documentary,Power and Terror: Noam Chomsky in Our Times,5.0
Documentary,Noam Chomsky: Distorted Morality,5.3
Drama,A Beast at Bay,5.0
Fantasy,Target,6.4
Crime,Castle on the Hudson,6.5
Horror,Catacombs,4.4
Comedy,"Uncle Marin, the Billionaire",8.3
Documentary,The Obama Deception,6.8
Drama,Homevideo,6.8
Animation,Aladin,5.5
Thriller,Sharknado 2: The Second One,4.5
Drama,The Riot Club,5.9
Crime,A Walk Among the Tombstones,6.2
Documentary,The Galapagos Affair: Satan Came to Eden,7.3
Romance,My Old Lady,6.1
Western,Thomasine & Bushrod,0.0
Documentary,1971,7.7
Drama,The Other One,0.0
Drama,Affluenza,4.4
Comedy,Laggies,6.1
Drama,The Confession,7.3
Documentary,Hot Pepper,5.0
Drama,Bethlehem,5.5
Comedy,God Help the Girl,6.8
Documentary,Misconception,0.0
Drama,Cause for Alarm,5.6
Comedy,What We Did on Our Holiday,6.7
Documentary,Fall of the Republic: The Presidency of Barack H. Obama,6.4
Fantasy,The Severed Heads,6.3
Drama,Dead Within,4.4
Drama,Free Range/Ballad on Approving of the World,5.3
Comedy,Force Majeure,6.8
Comedy,Heavyweights,7.1
Drama,Beste Zeit,6.5
Drama,Räuber Kneißl,5.0
Drama,The Pearl Color,8.5
Comedy,My Life in Orange,4.2
Comedy,Wer's glaubt wird selig,6.2
Action,Brother's War,3.7
Romance,A Soldier's Tale,5.0
Thriller,The Lonely Villa,5.5
Thriller,Spasmo,6.5
Crime,The Musketeers of Pig Alley,6.1
Drama,CBGB,6.5
Drama,Cement,0.0
Drama,Centennial,7.9
Western,The Homesman,6.4
Drama,Center Stage,6.7
Drama,Cesar Chavez,6.1
Romance,Chad Hanna,0.0
Drama,Chain Lightning,6.0
Thriller,An Average Little Man,8.0
Action,When Eight Bells Toll,5.6
Comedy,Trailer Park Boys: Don't Legalize It,6.6
Drama,The Uncertainty Principle,4.3
Animation,Monkey's Teeth,7.8
Animation,Dead Times,8.4
Mystery,The World of Kanako,6.5
Crime,The November Man,6.0
Comedy,My Girlfriend Is an Agent,6.3
Comedy,The Night They Raided Minsky's,4.4
Comedy,Cold Turkey,7.5
Thriller,White Bird in a Blizzard,6.1
Science Fiction,The Snails,8.1
Crime,Helter Skelter,6.6
Action,Chain of Command,6.3
Documentary,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.5
Thriller,The Occupants,3.6
Comedy,Not Cool,3.7
Thriller,Who Am I,7.6
Horror,Wer,5.7
Documentary,"First Case, Second Case",6.0
Drama,Gang Tapes,6.1
Drama,Corpo celeste,7.7
Mystery,When Animals Dream,6.1
Animation,The Boxtrolls,6.6
Animation,The Tale of the Princess Kaguya,8.0
Action,Forbidden City Cop,7.3
Thriller,The Girl on the Train,4.8
Documentary,Gore Vidal: The United States of Amnesia,8.2
Documentary,Double Play: James Benning and Richard Linklater,6.5
